Corps,Home Location,Latitude,Longitude,Class,Show Number,Date,Location,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Days from Season Start,Letters in Name,Latest Score,Last Performance Date,RMSE,D+1,D+1 U,D+1 L,D+2,D+2 U,D+2 L,D+3,D+3 U,D+3 L,D+4,D+4 U,D+4 L,D+5,D+5 U,D+5 L,D+6,D+6 U,D+6 L,D+7,D+7 U,D+7 L,Number of Shows,Average Rest,Average Score Improvement,Average of Last 3 Scores,Average Normal General Effect,Average Normal Visual,Average Normal Music,Average Normal Brass,Average Normal Percussion,Best Caption,Best Music,Rank of Last 3 Scores,Rank of Last Score,Rank of Last 3 Scores No All-Age,Rank of Last Score No All-Age,Ordinal Rank of Last 3 Scores,Ordinal Rank of Last Score,Ordinal Rank of Last 3 Scores No All-Age,Ordinal Rank of Last Score No All-Age,Projected Championship Round
Bluecoats,"Canton, OH",40.7985464,-81.3749508,DCI World Class,34.0,2024-07-14,"Ankeny, Iowa",2.0,17.7,17.6,35.3,17.6,17.7,17.8,26.55,17.1,18.0,17.9,26.5,88.35,0.0,88.35,18.0,9,88.35,2024-07-14,0.3803456276108483,89.73794466403163,91.18697222809556,88.28891709996772,90.50741106719369,93.49278092941678,87.52204120497059,91.27687747035574,95.8859043648333,86.66785057587818,92.0463438735178,98.36634253434508,85.72634521269052,92.81581027667984,100.0,84.69752511540756,93.5852766798419,100.0,83.58139028402934,94.35474308300395,100.0,82.37794071855583,5.0,3.0,1.0489583333333328,86.26666666666665,0.8641666666666667,0.8599999999999999,0.8633333333333334,0.8566666666666667,0.8666666666666666,General Effect,Percussion,1.0,1.0,1.0,1.0,1st,1st,1st,1st,Finals
Boston Crusaders,"Boston, MA",42.3554334,-71.060511,DCI World Class,32.0,2024-07-13,"Little Rock, Arkansas",4.0,17.3,17.0,34.3,17.4,17.1,17.5,26.0,17.2,16.8,17.7,25.85,86.15,0.0,86.15,17.0,15,86.15,2024-07-13,0.6414263776851499,89.75917359667358,91.04228731220803,88.47605988113912,90.58404365904364,93.23503557370091,87.93305174438638,91.40891372141371,95.51254831878217,87.30527912404526,92.23378378378378,97.87482554745176,86.5927420201158,93.05865384615385,100.0,85.79544043259796,93.8835239085239,100.0,84.91337436149178,94.70839397089397,100.0,83.94654380679722,7.0,2.8333333333333335,0.7119047619047622,85.7,0.8583333333333334,0.8555555555555556,0.8561111111111113,0.8450000000000001,0.86,General Effect,Percussion,2.0,2.0,2.0,2.0,2nd,2nd,2nd,2nd,Finals
Reading Buccaneers,"Reading, PA",40.335345,-75.9279495,DCI All Age World Class,29.0,2024-07-13,"Clifton, New Jersey",3.0,17.5,17.3,34.8,16.4,17.5,17.2,25.55,16.7,17.4,16.9,25.5,85.85,0.0,85.85,17.0,17,85.85,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,0.6357142857142851,81.4,0.8225,0.7966666666666666,0.8200000000000001,0.8099999999999999,0.8099999999999999,General Effect,Neither,6.0,3.0,,,6th,3rd,,,
Blue Devils,"Concord, CA",37.9768525,-122.0335624,DCI World Class,30.0,2024-07-13,"Fort Collins, Colorado",8.0,17.0,17.3,34.3,17.3,16.8,17.3,25.7,17.1,17.1,16.9,25.55,85.55,0.0,85.55,17.0,10,85.55,2024-07-13,0.18232248419075298,87.507371007371,87.92288989553842,87.0918521192036,88.12469287469287,88.98334033358014,87.2660454158056,88.74201474201475,90.07140045417438,87.41262902985511,89.35933660933661,91.18707025732107,87.53160296135215,89.97665847665849,92.33034974302024,87.62296721029674,90.59398034398035,93.50123891127187,87.68672177668883,91.21130221130221,94.69973776207598,87.72286666052845,8.0,2.142857142857143,0.5680952380952388,83.86666666666667,0.8408333333333333,0.8316666666666667,0.8427777777777777,0.8450000000000001,0.8416666666666666,Music,Brass,3.0,4.0,3.0,3.0,3rd,4th,3rd,3rd,Finals
Carolina Crown,"Fort Mill, SC",35.0073697,-80.9450759,DCI World Class,32.0,2024-07-13,"Little Rock, Arkansas",5.0,17.2,16.6,33.8,17.1,17.2,17.0,25.65,17.5,17.1,17.0,25.8,85.25,0.0,85.25,17.0,13,85.25,2024-07-13,0.6935685284562121,88.04096858638748,89.97745340155221,86.10448377122276,88.74528795811523,92.74783433312973,84.74274158310072,89.44960732984298,95.6477920093923,83.25142265029366,90.15392670157073,98.67732643033992,81.63052697280155,90.85824607329847,100.0,79.8800545506244,91.56256544502622,100.0,78.00000538376217,92.26688481675397,100.0,75.99037947221493,5.0,3.75,0.7004166666666661,82.21666666666667,0.82,0.8177777777777777,0.8294444444444445,0.825,0.8150000000000001,Music,Brass,5.0,5.0,5.0,4.0,5th,5th,5th,4th,Finals
Phantom Regiment,"Rockford, IL",42.2713945,-89.093966,DCI World Class,31.0,2024-07-13,"DeKalb, Illinois",6.0,16.8,17.0,33.8,16.9,16.9,16.8,25.3,17.3,16.8,17.2,25.65,84.75,0.0,84.75,17.0,15,84.75,2024-07-13,0.38284010425515846,87.45693417810627,88.18455865640416,86.72930969980838,88.31108764519531,89.81451896153276,86.80765632885789,89.16524111228438,91.49266162640305,86.83782059816569,90.01939457937343,93.218986651015,86.81980250773185,90.87354804646247,94.99349403536864,86.75360205755631,91.72770151355152,96.81618377946396,86.63921924763909,92.58185498064057,98.68705588330093,86.47665407798021,10.0,1.8888888888888888,0.9509259259259257,83.01666666666667,0.8291666666666666,0.8322222222222223,0.8294444444444445,0.8283333333333334,0.8350000000000002,Visual,Percussion,4.0,6.0,4.0,5.0,4th,6th,4th,5th,Finals
Bushwackers Drum Corps,"Princeton, NJ",40.3496953,-74.6597376,DCI All Age World Class,29.0,2024-07-13,"Clifton, New Jersey",1.0,17.1,17.0,34.1,16.0,17.1,17.1,25.1,15.7,16.8,17.1,24.8,84.0,0.0,84.0,17.0,20,84.0,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,0.6821428571428569,79.225,0.795,0.7808333333333334,0.8,0.775,0.8175000000000001,Music,Percussion,10.0,7.0,,,10th,7th,,,
Santa Clara Vanguard,"Santa Clara, CA",37.2333253,-121.6846349,DCI World Class,30.0,2024-07-13,"Fort Collins, Colorado",1.0,16.5,16.3,32.8,16.5,16.1,16.2,24.4,16.5,16.0,17.1,24.8,82.0,0.0,82.0,17.0,18,82.0,2024-07-13,0.5414286316265197,83.25411547911551,84.48804899002614,82.02018196820487,83.88003685503688,86.42989416297334,81.33017954710041,84.50595823095826,88.45372962203571,80.55818683988082,85.13187960687964,90.55955536721325,79.70420384654604,85.75780098280102,92.74737139850595,78.76823056709608,86.3837223587224,95.01717771591382,77.75026700153097,87.00964373464377,97.36897431943686,76.65031314985067,8.0,2.142857142857143,0.6385714285714268,79.71666666666667,0.7991666666666666,0.7844444444444444,0.8072222222222223,0.8016666666666667,0.8300000000000001,Music,Percussion,8.0,8.0,7.0,6.0,8th,8th,7th,6th,Finals
Hawthorne Caballeros,"Hawthorne, NJ",40.9492649,-74.1537549,DCI All Age World Class,29.0,2024-07-13,"Clifton, New Jersey",4.0,16.4,16.6,33.0,15.7,16.6,16.0,24.15,16.0,16.9,16.7,24.8,81.95,0.0,81.95,17.0,19,81.95,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,0.5464285714285718,78.125,0.79125,0.7575000000000001,0.7916666666666666,0.7725,0.7849999999999999,Music,Percussion,13.0,9.0,,,13th,9th,,,
Mandarins,"Sacramento, CA",38.5810606,-121.493895,DCI World Class,30.0,2024-07-13,"Fort Collins, Colorado",7.0,16.2,16.6,32.8,16.4,16.2,16.4,24.5,16.1,16.6,16.1,24.4,81.7,0.0,81.7,17.0,9,81.7,2024-07-13,0.5183231683830024,84.39463562753038,85.53377447171356,83.2554967833472,85.12145748987855,87.47452704540797,82.76838793434915,85.84827935222674,89.49007148626546,82.20648721818802,86.57510121457491,91.58040779428602,81.5697946348638,87.30192307692309,93.74553596946964,80.85831018437653,88.02874493927126,95.98545601181632,80.0720338667262,88.75556680161944,98.30016792132609,79.2109656819128,9.0,1.875,0.6412500000000011,80.53333333333335,0.8099999999999999,0.8038888888888888,0.8005555555555556,0.8133333333333335,0.775,General Effect,Brass,7.0,10.0,6.0,7.0,7th,10th,6th,7th,Finals
