,Tm,W,L,W-L%,GB
1,Philadelphia Phillies,63,37,.630,--
2,Baltimore Orioles,60,39,.606,--
3,Cleveland Guardians,59,40,.596,--
4,Los Angeles Dodgers,60,41,.594,--
5,New York Yankees,60,42,.588,1.5
6,Milwaukee Brewers,57,43,.570,--
7,Minnesota Twins,55,44,.556,4.0
8,Kansas City Royals,56,45,.554,4.0
9,Atlanta Braves,54,45,.545,8.5
10,Boston Red Sox,53,46,.535,7.0
11,Houston Astros,52,48,.520,--
12,Seattle Mariners,53,49,.520,--
13,St. Louis Cardinals,52,48,.520,5.0
14,New York Mets,51,48,.515,11.5
15,San Diego Padres,52,50,.510,8.5
16,Pittsburgh Pirates,51,49,.510,6.0
17,Arizona Diamondbacks,51,50,.505,9.0
18,Tampa Bay Rays,50,50,.500,10.5
19,Detroit Tigers,50,51,.495,10.0
20,Chicago Cubs,49,53,.480,9.0
21,Texas Rangers,48,52,.480,4.0
22,Cincinnati Reds,48,53,.475,9.5
23,San Francisco Giants,48,53,.475,12.0
24,Washington Nationals,47,53,.470,16.0
25,Toronto Blue Jays,45,54,.455,15.0
26,Los Angeles Angels,43,57,.430,9.0
27,Oakland Athletics,40,62,.392,13.0
28,Colorado Rockies,37,64,.366,23.0
29,Miami Marlins,35,65,.350,28.0
30,Chicago White Sox,27,75,.265,33.5
