,Show Number,Corps,Date,Location,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Days from Season Start,Total Score Residual
0,1,Boston Crusaders,2024-06-26,"Rockford, Michigan",5,15.4,14.4,29.8,14.5,14.3,14.5,21.65,14.3,14.7,14.1,21.55,73.0,0.0,73.0,0,8.840745609309337
1,1,Phantom Regiment,2024-06-26,"Rockford, Michigan",2,14.8,14.2,29.0,14.0,13.6,13.6,20.6,13.8,14.2,13.1,20.55,70.15,0.0,70.15,0,5.990745609309343
2,1,The Cavaliers,2024-06-26,"Rockford, Michigan",4,13.7,13.9,27.6,13.8,13.3,12.9,20.0,13.4,14.1,13.8,20.65,68.25,0.0,68.25,0,4.090745609309337
3,1,Blue Stars,2024-06-26,"Rockford, Michigan",1,14.1,13.3,27.4,13.3,12.8,13.4,19.75,12.9,13.6,12.5,19.5,66.65,0.0,66.65,0,2.490745609309343
4,1,Colts,2024-06-26,"Rockford, Michigan",3,13.8,13.0,26.8,13.4,12.6,12.8,19.4,12.7,13.3,12.4,19.2,65.4,0.0,65.4,0,1.240745609309343
5,2,Carolina Crown,2024-06-28,"Muncie, Indiana",6,14.9,15.4,30.3,15.2,15.0,14.6,22.4,15.1,15.1,14.2,22.2,74.9,0.0,74.9,2,9.439399849154185
6,2,Boston Crusaders,2024-06-28,"Muncie, Indiana",5,15.0,15.0,30.0,14.7,15.2,14.9,22.4,14.8,14.8,15.0,22.3,74.7,0.0,74.7,2,9.239399849154182
7,2,Phantom Regiment,2024-06-28,"Muncie, Indiana",3,14.5,14.7,29.2,14.5,14.2,13.8,21.25,14.4,14.7,14.3,21.7,72.15,0.0,72.15,2,6.689399849154185
8,2,The Cavaliers,2024-06-28,"Muncie, Indiana",2,13.7,14.1,27.8,14.0,13.4,13.1,20.25,13.7,14.3,14.1,21.05,69.1,0.0,69.1,2,3.6393998491541737
9,2,Blue Stars,2024-06-28,"Muncie, Indiana",1,13.4,13.8,27.2,13.2,13.3,13.5,20.0,13.3,13.8,12.9,20.0,67.2,0.0,67.2,2,1.7393998491541822
10,2,Colts,2024-06-28,"Muncie, Indiana",4,13.5,13.6,27.1,13.4,13.0,12.9,19.65,13.4,13.6,13.7,20.35,67.1,0.0,67.1,2,1.6393998491541737
11,3,Blue Devils,2024-06-28,"Walnut, California",3,15.5,15.5,31.0,15.1,15.2,15.2,22.75,15.1,15.2,15.4,22.85,76.6,0.0,76.6,2,11.139399849154174
12,3,Santa Clara Vanguard,2024-06-28,"Walnut, California",1,14.4,15.0,29.4,14.5,14.2,14.1,21.4,14.6,13.8,15.3,21.85,72.65,0.0,72.65,2,7.189399849154185
13,3,Mandarins,2024-06-28,"Walnut, California",2,14.8,14.5,29.3,14.1,14.4,14.4,21.45,14.2,13.4,14.2,20.9,71.65,0.0,71.65,2,6.189399849154185
14,3,Pacific Crest,2024-06-28,"Walnut, California",4,13.0,13.0,26.0,12.4,12.5,12.8,18.85,12.7,12.7,13.5,19.45,64.3,0.0,64.3,2,-1.1606001508458235
15,3,Blue Devils B,2024-06-28,"Walnut, California",3,12.4,12.3,24.7,12.2,12.8,11.8,18.4,12.4,12.5,12.8,18.85,61.95,0.0,61.95,2,-3.510600150845818
16,3,Gold,2024-06-28,"Walnut, California",4,12.1,11.8,23.9,11.4,11.1,11.4,16.95,11.9,12.2,12.2,18.15,59.0,0.0,59.0,2,-6.460600150845821
17,3,Impulse,2024-06-28,"Walnut, California",2,11.0,10.5,21.5,10.2,9.8,10.7,15.35,10.3,9.8,10.2,15.15,52.0,0.0,52.0,2,-13.46060015084582
18,3,Vessel,2024-06-28,"Walnut, California",1,10.3,9.9,20.2,9.7,9.5,9.5,14.35,9.7,9.4,11.5,15.3,49.85,0.0,49.85,2,-15.61060015084582
19,3,Blue Devils C,2024-06-28,"Walnut, California",5,10.0,9.6,19.6,9.0,8.6,9.3,13.45,9.1,8.8,9.4,13.65,46.7,0.0,46.7,2,-18.760600150845818
