,Show Number,Date,Location,Corps,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Visual Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Competition Latitude,Competition Longitude,General Effect 1 1,General Effect 1 2,General Effect 2 1,General Effect 2 2,Music Analysis 1,Music Analysis 2,Days from Season Start,Geodesic Distance
0,,,"Rockford, Michigan",Boston Crusaders,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,"Rockford, Michigan",Phantom Regiment,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,"Rockford, Michigan",The Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,"Rockford, Michigan",Blue Stars,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"Rockford, Michigan",Colts,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,"Muncie, Indiana",Carolina Crown,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,2 days 00:00:00,"Muncie, Indiana",Boston Crusaders,0.0,-0.40000000000000036,0.5999999999999996,0.1999999999999993,0.1999999999999993,0.8999999999999986,0.40000000000000036,0.75,0.5,0.10000000000000142,0.9000000000000004,0.75,1.7000000000000028,0.0,1.7000000000000028,-2.926031799999997,0.1730768999999981,,,,,,,2.0,202.13448541501026
7,1.0,2 days 00:00:00,"Muncie, Indiana",Phantom Regiment,1.0,-0.3000000000000007,0.5,0.1999999999999993,0.5,0.5999999999999996,0.20000000000000107,0.6499999999999986,0.5999999999999996,0.5,1.200000000000001,1.1499999999999986,2.0,0.0,2.0,-2.926031799999997,0.1730768999999981,,,,,,,2.0,202.13448541501026
8,1.0,2 days 00:00:00,"Muncie, Indiana",The Cavaliers,-2.0,0.0,0.1999999999999993,0.1999999999999993,0.1999999999999993,0.09999999999999964,0.1999999999999993,0.25,0.29999999999999893,0.20000000000000107,0.29999999999999893,0.40000000000000213,0.8499999999999943,0.0,0.8499999999999943,-2.926031799999997,0.1730768999999981,,,,,,,2.0,202.13448541501026
9,1.0,2 days 00:00:00,"Muncie, Indiana",Blue Stars,0.0,-0.6999999999999993,0.5,-0.1999999999999993,-0.10000000000000142,0.5,0.09999999999999964,0.25,0.40000000000000036,0.20000000000000107,0.40000000000000036,0.5,0.5499999999999972,0.0,0.5499999999999972,-2.926031799999997,0.1730768999999981,,,,,,,2.0,202.13448541501026
10,1.0,2 days 00:00:00,"Muncie, Indiana",Colts,1.0,-0.3000000000000007,0.5999999999999996,0.3000000000000007,0.0,0.40000000000000036,0.09999999999999964,0.25,0.7000000000000011,0.29999999999999893,1.299999999999999,1.1500000000000021,1.6999999999999886,0.0,1.6999999999999886,-2.926031799999997,0.1730768999999981,,,,,,,2.0,202.13448541501026
11,,,"Walnut, California",Blue Devils,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,"Walnut, California",Santa Clara Vanguard,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,"Walnut, California",Mandarins,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,"Walnut, California",Pacific Crest,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,"Walnut, California",Blue Devils B,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,"Walnut, California",Gold,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,"Walnut, California",Impulse,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,"Walnut, California",Vessel,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,"Walnut, California",Blue Devils C,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.0,1 days 00:00:00,"Madison, Wisconsin",Blue Stars,0.0,0.40000000000000036,-0.40000000000000036,0.0,0.6000000000000014,-12.0,0.1999999999999993,0.3999999999999986,0.3999999999999986,-0.10000000000000142,0.5,0.3999999999999986,0.7999999999999972,0.0,0.7999999999999972,2.881071800000001,-3.9972342000000083,,,,,,,1.0,286.9269031466265
21,2.0,1 days 00:00:00,"Madison, Wisconsin",Colts,-2.0,0.0,0.0,0.0,0.09999999999999964,0.40000000000000036,0.5999999999999996,0.5500000000000007,0.40000000000000036,-0.5,0.0,-0.05000000000000071,0.5,0.0,0.5,2.881071800000001,-3.9972342000000083,,,,,,,1.0,286.9269031466265
22,,,"Madison, Wisconsin",Madison Scouts,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,"Madison, Wisconsin",Colt Cadets,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,"Madison, Wisconsin",Govenaires,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,"Shelton, Connecticut",Spartans,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,"Shelton, Connecticut",7th Regiment,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,"Shelton, Connecticut",Reading Buccaneers,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,"Shelton, Connecticut",Bushwackers Drum Corps,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,"Shelton, Connecticut",Hawthorne Caballeros,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,"Shelton, Connecticut",Hurricanes,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,"Shelton, Connecticut",Fusion Core,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,"Shelton, Connecticut",Sunrisers,,,,,,,,,,,,,,,,,,,,,,,,,
33,3.0,1 days 00:00:00,"Walnut, California",Blue Devils,1.0,-0.09999999999999964,0.1999999999999993,0.10000000000000142,0.3000000000000007,0.10000000000000142,0.10000000000000142,0.25,0.20000000000000107,0.10000000000000142,0.0,0.14999999999999858,0.5,0.0,0.5,0.0,0.0,,,,,,,1.0,0.0
34,3.0,1 days 00:00:00,"Walnut, California",Santa Clara Vanguard,0.0,-0.3000000000000007,-0.8000000000000007,-1.0999999999999979,0.09999999999999964,0.5,0.40000000000000036,0.5,-0.1999999999999993,0.7999999999999989,0.0,0.29999999999999716,-0.30000000000001137,0.0,-0.30000000000001137,0.0,0.0,,,,,,,1.0,0.0
35,3.0,1 days 00:00:00,"Walnut, California",Mandarins,0.0,-0.5,-0.8000000000000007,-1.3000000000000007,0.20000000000000107,0.5,0.1999999999999993,0.4499999999999993,0.40000000000000036,0.40000000000000036,0.10000000000000142,0.45000000000000284,-0.4000000000000057,0.0,-0.4000000000000057,0.0,0.0,,,,,,,1.0,0.0
36,3.0,1 days 00:00:00,"Walnut, California",Pacific Crest,-1.0,-1.6999999999999993,-0.5999999999999996,-2.3000000000000007,0.5999999999999996,0.5,-0.10000000000000142,0.5,0.10000000000000142,0.10000000000000142,0.1999999999999993,0.1999999999999993,-1.5999999999999943,0.0,-1.5999999999999943,0.0,0.0,,,,,,,1.0,0.0
37,3.0,1 days 00:00:00,"Walnut, California",Blue Devils B,1.0,0.5999999999999996,0.3999999999999986,1.0,0.3000000000000007,-0.10000000000000142,0.5,0.3500000000000014,0.09999999999999964,0.5,0.1999999999999993,0.3999999999999986,1.75,0.0,1.75,0.0,0.0,,,,,,,1.0,0.0
38,3.0,1 days 00:00:00,"Walnut, California",Gold,1.0,-1.0999999999999996,0.6999999999999993,-0.3999999999999986,0.40000000000000036,0.5999999999999996,0.29999999999999893,0.6500000000000021,0.1999999999999993,0.0,0.20000000000000107,0.20000000000000284,0.45000000000000284,0.0,0.45000000000000284,0.0,0.0,,,,,,,1.0,0.0
39,3.0,1 days 00:00:00,"Walnut, California",Vessel,1.0,-0.9000000000000004,-0.09999999999999964,-1.0,0.3000000000000007,0.3000000000000007,0.5,0.5500000000000007,0.10000000000000142,1.1999999999999993,-0.09999999999999964,0.5999999999999996,0.14999999999999858,0.0,0.14999999999999858,0.0,0.0,,,,,,,1.0,0.0
40,3.0,1 days 00:00:00,"Walnut, California",Impulse,-1.0,-1.8000000000000007,-1.1999999999999993,-3.0,0.10000000000000142,0.5999999999999996,-0.1999999999999993,0.25,0.29999999999999893,-0.6000000000000014,0.10000000000000142,-0.09999999999999964,-2.8500000000000014,0.0,-2.8500000000000014,0.0,0.0,,,,,,,1.0,0.0
41,3.0,1 days 00:00:00,"Walnut, California",Blue Devils C,-2.0,-1.0999999999999996,-0.5,-1.6000000000000014,0.40000000000000036,0.5,0.1999999999999993,0.5500000000000007,0.0,0.1999999999999993,0.09999999999999964,0.15000000000000036,-0.9000000000000057,0.0,-0.9000000000000057,0.0,0.0,,,,,,,1.0,0.0
42,5.0,2 days 00:00:00,"Lisle, Illinois",Carolina Crown,0.0,1.0,0.1999999999999993,1.1999999999999993,0.40000000000000036,-0.1999999999999993,0.5999999999999996,0.40000000000000213,-0.09999999999999964,0.09999999999999964,1.200000000000001,0.6000000000000014,2.1999999999999886,0.0,2.1999999999999886,1.607469799999997,-2.688241600000012,,,,,,,2.0,179.02855137814933
43,5.0,2 days 00:00:00,"Lisle, Illinois",Boston Crusaders,0.0,0.5999999999999996,0.3000000000000007,0.8999999999999986,0.7000000000000011,-0.1999999999999993,0.6999999999999993,0.6000000000000014,-0.10000000000000142,0.1999999999999993,0.6999999999999993,0.3999999999999986,1.8999999999999915,0.0,1.8999999999999915,1.607469799999997,-2.688241600000012,,,,,,,2.0,179.02855137814933
44,5.0,2 days 00:00:00,"Lisle, Illinois",Phantom Regiment,1.0,0.5,0.0,0.5,0.5,0.3000000000000007,0.7999999999999989,0.8000000000000007,0.09999999999999964,-0.09999999999999964,0.6999999999999993,0.3500000000000014,1.6499999999999915,0.0,1.6499999999999915,1.607469799999997,-2.688241600000012,,,,,,,2.0,179.02855137814933
45,5.0,2 days 00:00:00,"Lisle, Illinois",The Cavaliers,5.0,0.9000000000000004,0.3000000000000007,1.1999999999999993,0.5999999999999996,0.1999999999999993,1.0999999999999996,0.9499999999999993,0.6000000000000014,-0.20000000000000107,0.8000000000000007,0.5999999999999979,2.700000000000003,0.0,2.75,1.607469799999997,-2.688241600000012,,,,,,,2.0,179.02855137814933
46,3.0,1 days 00:00:00,"Lisle, Illinois",Colts,1.0,0.5,0.9000000000000004,1.3999999999999986,0.5999999999999996,0.40000000000000036,0.8000000000000007,0.9000000000000021,0.1999999999999993,0.40000000000000036,1.0,0.8000000000000007,3.1000000000000085,0.0,3.1000000000000085,-1.273602000000004,1.3089925999999963,,,,,,,1.0,110.48039355755071
47,3.0,1 days 00:00:00,"Lisle, Illinois",Blue Stars,1.0,0.29999999999999893,0.7999999999999989,1.1000000000000014,0.3999999999999986,12.7,0.8000000000000007,0.9500000000000028,0.0,0.0,0.6999999999999993,0.3500000000000014,2.4000000000000057,0.0,2.4000000000000057,-1.273602000000004,1.3089925999999963,,,,,,,1.0,110.48039355755071
48,3.0,1 days 00:00:00,"Lisle, Illinois",Madison Scouts,-2.0,0.3000000000000007,-0.10000000000000142,0.1999999999999993,0.29999999999999893,0.5,0.3999999999999986,0.6000000000000014,0.5,0.5999999999999996,0.40000000000000036,0.75,1.5500000000000114,0.0,1.5500000000000114,-1.273602000000004,1.3089925999999963,,,,,,,1.0,110.48039355755071
49,3.0,1 days 00:00:00,"Lisle, Illinois",Colt Cadets,0.0,0.3000000000000007,1.0,1.3000000000000007,-0.29999999999999893,0.7999999999999989,0.8000000000000007,0.6499999999999986,0.1999999999999993,0.29999999999999893,0.5999999999999996,0.5500000000000007,2.5,0.0,2.5,-1.273602000000004,1.3089925999999963,,,,,,,1.0,110.48039355755071
50,2.0,1 days 00:00:00,"San Bernardino, California",Blue Devils,0.0,0.09999999999999964,-0.5999999999999996,-0.5,0.09999999999999964,0.3999999999999986,0.09999999999999964,0.3000000000000007,0.5,0.09999999999999964,0.1999999999999993,0.3999999999999986,0.20000000000000284,0.0,0.20000000000000284,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
51,2.0,1 days 00:00:00,"San Bernardino, California",Santa Clara Vanguard,0.0,0.5999999999999996,0.10000000000000142,0.6999999999999993,0.09999999999999964,0.10000000000000142,0.3000000000000007,0.25,0.1999999999999993,0.09999999999999964,0.1999999999999993,0.25,1.2000000000000028,0.0,1.2000000000000028,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
52,2.0,1 days 00:00:00,"San Bernardino, California",Mandarins,1.0,0.5,0.7000000000000011,1.1999999999999993,0.29999999999999893,0.1999999999999993,0.0,0.25,-0.29999999999999893,0.5999999999999996,0.1999999999999993,0.25,1.7000000000000028,0.0,1.7000000000000028,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
53,2.0,1 days 00:00:00,"San Bernardino, California",Pacific Crest,-1.0,1.3999999999999986,-0.20000000000000107,1.1999999999999993,0.1999999999999993,-0.3000000000000007,0.20000000000000107,0.04999999999999716,0.29999999999999893,-0.20000000000000107,0.0,0.05000000000000071,1.2999999999999972,0.0,1.2999999999999972,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
54,2.0,1 days 00:00:00,"San Bernardino, California",Blue Devils B,0.0,-0.40000000000000036,0.0,-0.3999999999999986,0.40000000000000036,0.3000000000000007,0.1999999999999993,0.4499999999999993,0.09999999999999964,0.1999999999999993,-0.09999999999999964,0.10000000000000142,0.14999999999999858,0.0,0.14999999999999858,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
55,2.0,1 days 00:00:00,"San Bernardino, California",Gold,0.0,0.9000000000000004,-0.5999999999999996,0.3000000000000007,0.09999999999999964,0.20000000000000107,0.3000000000000007,0.29999999999999716,0.3000000000000007,0.0,0.09999999999999964,0.1999999999999993,0.7999999999999972,0.0,0.7999999999999972,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
56,2.0,1 days 00:00:00,"San Bernardino, California",Impulse,1.0,1.4000000000000004,0.5,1.8999999999999986,0.29999999999999893,-0.20000000000000107,0.40000000000000036,0.25,-0.29999999999999893,0.3000000000000007,-0.10000000000000142,-0.05000000000000071,2.1000000000000014,0.0,2.1000000000000014,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
57,2.0,1 days 00:00:00,"San Bernardino, California",Vessel,-1.0,0.6999999999999993,0.3999999999999986,1.1000000000000014,0.40000000000000036,0.09999999999999964,0.09999999999999964,0.29999999999999893,-0.3000000000000007,-0.29999999999999893,-0.09999999999999964,-0.34999999999999964,1.0499999999999972,0.0,1.0499999999999972,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
58,2.0,1 days 00:00:00,"San Bernardino, California",Blue Devils C,0.0,0.40000000000000036,0.09999999999999964,0.5,0.1999999999999993,0.20000000000000107,0.1999999999999993,0.3000000000000007,0.09999999999999964,0.0,0.09999999999999964,0.09999999999999964,0.9000000000000057,0.0,0.9000000000000057,1.116713599999997,1.7092951999999997,,,,,,,1.0,124.46433431171891
59,,,"Mason, OH",Bluecoats,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,2 days 00:00:00,"Mason, OH",Boston Crusaders,-3.0,0.5000000000000018,0.3999999999999986,0.9000000000000021,0.40000000000000036,0.1999999999999993,0.20000000000000107,0.3999999999999986,0.7000000000000011,0.40000000000000036,0.0,0.5500000000000007,1.8500000000000085,0.0,1.8500000000000085,-2.4411003999999963,3.764829700000007,,,,,,,2.0,259.95339452469113
61,2.0,2 days 00:00:00,"Mason, OH",Carolina Crown,-3.0,-0.09999999999999964,-0.09999999999999964,-0.1999999999999993,0.0,0.29999999999999893,0.3000000000000007,0.3000000000000007,0.8000000000000007,0.6000000000000014,0.09999999999999964,0.75,0.8500000000000085,0.0,0.8500000000000085,-2.4411003999999963,3.764829700000007,,,,,,,2.0,259.95339452469113
62,2.0,2 days 00:00:00,"Mason, OH",Phantom Regiment,-3.0,0.5999999999999996,0.3000000000000007,0.9000000000000021,0.1999999999999993,0.1999999999999993,0.5999999999999996,0.5,0.3000000000000007,0.5,0.0,0.3999999999999986,1.7999999999999972,0.0,1.7999999999999972,-2.4411003999999963,3.764829700000007,,,,,,,2.0,259.95339452469113
63,,,"Mason, OH",Cincinnati Tradition,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,3 days 00:00:00,"Cedarburg, Wisconsin",The Cavaliers,-3.0,0.5,0.5,1.0,0.0,1.9000000000000004,0.6000000000000014,1.25,0.5999999999999996,0.5999999999999996,0.6999999999999993,0.9500000000000028,3.25,0.0,3.200000000000003,1.495495500000004,0.08723390000000109,,,,,,,3.0,103.32158289243158
