Corps,Home Location,Latitude,Longitude
7th Regiment,"New London, CT",41.3556187,-72.0997804
Atlanta CV,"Atlanta, GA",33.7489924,-84.3902644
Blue Devils,"Concord, CA",37.9768525,-122.0335624
Blue Devils B,"Concord, CA",37.9768525,-122.0335624
Blue Devils C,"Concord, CA",37.9768525,-122.0335624
Blue Knights,"Denver, CO",39.7392364,-104.984862
Blue Stars,"La Crosse, WI",43.8122836,-91.2514355
Bluecoats,"Canton, OH",40.7985464,-81.3749508
Boston Crusaders,"Boston, MA",42.3554334,-71.060511
Bushwackers Drum Corps,"Princeton, NJ",40.3496953,-74.6597376
Carolina Crown,"Fort Mill, SC",35.0073697,-80.9450759
Cincinnati Tradition,"Cincinnati, OH",39.1014537,-84.5124602
Colt Cadets,"Dubuque, IA",42.5006243,-90.6647985
Colts,"Dubuque, IA",42.5006243,-90.6647985
Columbians,"Pasco, WA",46.2306739,-119.0921
Columbus Saints,"Columbus, OH",39.9622601,-83.0007065
Crossmen,"San Antonio, TX",29.4246002,-98.4951405
Fusion Core,"Morris County, NJ",40.8679538,-74.5601181
Genesis,"Austin, TX",30.2711286,-97.7436995
Gold,"San Diego, CA",32.7174202,-117.162772
Golden Empire,"Bakersfield, CA",35.3738712,-119.019463
Govenaires,"St. Peter, MN",44.3238384,-93.9585295
Guardians,"Dallas, TX",32.7762719,-96.7968559
Hawthorne Caballeros,"Hawthorne, NJ",40.9492649,-74.1537549
Heat Wave,"Tampa Bay, FL",27.6886419,-82.5723193
Hurricanes,"Seymour, CT",41.395317,-73.0724442
Impulse,"Buena Park, CA",33.870413,-117.9962165
Jersey Surf,"Camden County, NJ",39.8014709,-74.968553
Les Stentors,"Sherbrooke, QC",45.403271,-71.889038
Madison Scouts,"Madison, WI",43.074761,-89.3837613
Mandarins,"Sacramento, CA",38.5810606,-121.493895
Music City,"Nashville, TN",36.1622767,-86.7742984
New York Skyliners,"Southern Tier, NY",42.1615601,-76.8426327
Pacific Crest,"City of Industry, CA",34.0182252,-117.9593061
Phantom Regiment,"Rockford, IL",42.2713945,-89.093966
Raiders,"Princeton, NJ",40.3496953,-74.6597376
Reading Buccaneers,"Reading, PA",40.335345,-75.9279495
River City Rhythm,"Anoka, MN",45.2710195,-93.2827625
Rogues Hollow Regiment,"Doylestown, OH",40.9700549,-81.6965168
Santa Clara Vanguard,"Santa Clara, CA",37.2333253,-121.6846349
Seattle Cascades,"Seattle, WA",47.6038321,-122.330062
Spartans,"Nashua, NH",42.7656251,-71.4677032
Spirit of Atlanta,"Atlanta, GA",33.7489924,-84.3902644
Sunrisers,"Long Island, NY",40.85149705,-73.0994258107431
The Academy,"Tempe, AZ",33.4255117,-111.940016
The Battalion,"Salt Lake City, UT",40.7596198,-111.886797
The Cavaliers,"Rosemont, IL",41.9941334,-87.8756737
Troopers,"Casper, WY",42.8501191,-106.325138
Vessel,"San Dimas, CA",34.1065404,-117.8069361
White Sabers,"Rochester, NY",43.157285,-77.615214
