Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Philadelphia Phillies,61,32,.656,W 3,5.0,3.6,1.3,-0.2,1.1,59-34,2,15-10,14-9,19-6,13-7,36-14,25-18,6-6,14-10,38-17,23-15,25-14,36-18,7-3,12-8,17-13
2,Cleveland Guardians,57,35,.620,L 2,4.9,3.9,0.9,-0.2,0.7,55-37,2,12-7,15-13,18-7,12-8,30-11,27-24,7-2,17-12,37-29,20-6,24-15,33-20,5-5,11-9,17-13
3,Baltimore Orioles,57,36,.613,L 3,5.0,4.1,0.9,0.0,1.0,55-38,2,19-7,12-4,14-11,12-14,29-20,28-16,4-4,10-11,42-24,15-12,29-20,28-16,4-6,9-11,16-14
4,New York Yankees,56,39,.589,L 1,5.0,3.9,1.0,0.0,1.1,58-37,-2,14-18,17-2,12-6,13-13,25-19,31-20,1-6,11-12,46-26,10-13,31-23,25-16,3-7,5-15,11-19
5,Los Angeles Dodgers,55,39,.585,L 4,4.9,4.0,1.0,-0.1,0.8,56-38,-1,14-7,10-10,18-15,13-7,28-19,27-20,6-4,10-10,31-29,24-10,25-20,30-19,3-7,10-10,16-14
6,Milwaukee Brewers,54,40,.574,L 1,4.8,4.0,0.8,-0.1,0.8,55-39,-1,4-5,21-12,5-9,24-14,28-15,26-25,4-4,15-15,41-28,13-12,22-21,32-19,4-6,10-10,16-14
7,Minnesota Twins,53,40,.570,W 1,4.9,4.4,0.6,-0.1,0.5,52-41,1,5-13,19-13,20-6,9-8,27-18,26-22,4-3,16-11,37-32,16-8,20-25,33-15,7-3,12-8,20-10
8,Atlanta Braves,51,41,.554,L 2,4.3,3.6,0.7,0.0,0.6,53-39,-2,14-12,8-7,7-10,22-12,29-17,22-24,6-3,10-13,32-29,19-12,26-22,25-19,5-5,10-10,16-14
9,Boston Red Sox,51,41,.554,W 1,4.7,4.3,0.5,0.0,0.4,50-42,1,13-11,7-11,11-5,20-14,22-24,29-17,5-4,11-5,39-27,12-14,16-26,35-15,8-2,14-6,20-10
10,Seattle Mariners,52,43,.547,W 3,3.9,3.7,0.2,0.0,0.2,50-45,2,9-14,10-13,18-5,15-11,30-18,22-25,6-4,19-11,38-33,14-10,25-26,27-17,5-5,8-12,16-14
